id,date,contents
1470207082519539716,2021-12-13 01:40:58+00:00,@ramzpaul Too bad it happened due to covid.
1470207082397945861,2021-12-13 01:40:58+00:00,@disclosetv That’s the covid vaccine!!!
1470207081059782660,2021-12-13 01:40:57+00:00,@Route_60plus Everyone is free to get Covid.
1470207080841854980,2021-12-13 01:40:57+00:00,"I'm not a conspiracy nut and I have no clue what's going on.  However, I think this new latest 'Covid emergency' is bullschitt. I have no idea what the motivations are but the data and advice coming from the likes of Boris Johnson doesn't stack up. I've stopped listening to tham."
1470207079809830913,2021-12-13 01:40:57+00:00,"Are you being evicted? Get help paying your unpaid rent now! The CA COVID-19 Rent Relief program provides free financial assistance to California renters impacted by COVID-19. Learn more, check your eligibility and apply at https://t.co/TRLX9fGOn6 or call 833-430-2122. 🏡 https://t.co/gkmCo9XGFO"
1470207079025577985,2021-12-13 01:40:57+00:00,@BlowingTom 1.6% covid mortality rate in America with next to no personal sovereignty overruled. 0.9% in Australia. There's an over 2% chance of your dying by getting into some form of transport. I'm guessing you'd like everyone to walk everywhere too?
1470207076349665286,2021-12-13 01:40:56+00:00,"Media still generating intense fear with COVID positive cases &amp; red maps after 2 years. It was 99% survivable, now we have the mRNA vaccines which are effective at keeping vulnerable people protected. I'm vaccinated. This media torment is slowly destroying millions of people."
1470207072360976385,2021-12-13 01:40:55+00:00,"@TonySchwartzNBA They didn’t stop the season for Philly last year at the height of Covid. They ain’t stopping the season now. 

I definitely think the Bulls Heat game should have been cancelled, but no reason why the rest of the league don’t play on."
1470207068179091460,2021-12-13 01:40:54+00:00,"Traffic light settings (COVID-19 Protection Framework) are now in place for all of Aotearoa🚦Vaccine passes are an important part of life within the new framework.

Watch @JohnPulu take us through the Traffic light settings for Aotearoa. ​​🔴​🟠​​🟢​
https://t.co/yc3zgnED7R"
1470207067310809095,2021-12-13 01:40:54+00:00,"@sallyrugg There was zero chance of 90% being reached six months ago for a variety of reasons.

Mandates, threats &amp; outbreaks were worth +20%.  It certainly wasn't because of ""not a race"" comments - which were in part inspired by Covid Zero creating vaccine injury concerns."
1470207064932823040,2021-12-13 01:40:54+00:00,@TheatreSpoonie @hazelbagend @scotfoodjames Which is why customers are voting with their feet and cancelling bookings . Covid isn’t worth dying for .
1470207059857711108,2021-12-13 01:40:52+00:00,"Get your booster.

Israeli study finds Pfizer COVID-19 booster protects against Omicron https://t.co/bBJ3uo9Fix"
1470207059253682183,2021-12-13 01:40:52+00:00,@matthewfacy @CraigEtherton If you don't understand the parallels in the metaphor/example I used then turn off social media and read a few books 👍 hope you don't catch covid
